"","site_location","site_name","svmp_region","contract_dnr_number","planting_date.x","planted_area_m2.x","number_shoots.x","monitoring_org","monitoring_date","veg_presence","planting_method.x","shoot_count","veg_area_m2","shoot_density_m2","days_since_planted","survival","notes.x","notes2","plantingID","planting_location_code","planting_date.y","planting_method.y","donor_site_code","subproj_code","activity_type","planting_geometry","parallel_length_m","perpendicular_length_m","plot_area_m2","planted_area_m2.y","effective_area_planted_m2","number_planting_units","number_shoots.y","plot_shoot_density_m2","planted_area_shoot_density_m2","notes.y","plt_date_match","plt_area_match","num_shoots_match","plt_method_match"
"121","Dumas Bay","Dumas Bay - KC Zm Restoration - test 2 - 2022","CPS","0",2022-06-16,"5",720,"DNR",2023-04-22,"present","rebar",NA,NA,NA,310,NA,"Qualitative assessment via snorkeling while swapping sensors. All looked good. Some reproductive shoots. Recovered some rebar.",NA,"DB_test_6__2022-06-16__rebar__DPW","DB_test_6",2022-06-16,"rebar","DPW","kingco__KingCounty__unspecified","test","point",10,1,10,5,1.5,60,720,72,144,"set helical anchor 20 m NE of light sensor. From that point, measure out 20 m and planted a 0.25 m2 checkboard along the tape starting at 2 m to 7 m, then again at 12 m to 17 m. Checkerboard pattern layout as follows: 2-2.5 m nearshore planting, 2.5-3 m offshore planting, 3-3.5 nearshore planting, etc.","match","match","match","match"
"122","Eld Inlet","Eld Inlet - deep - PNNL - test - 2015","SPS","IAA 12-317.1",2015-03-12,"25",500,"PNNL",2018-03-07,"absent","staple",0,25,0,1091,0,"found and retrieved all screw anchors. Visibility low, sediment soft. No eelgrass observed.",NA,"ELD_deep__2015-03-12__staple__WNB","ELD_deep",2015-03-12,"staple","WNB","zos_rest_ps__DNR__PNNL","test","point",5,5,25,25,0.625,125,500,20,20,"""mega""-bundles were planted nearby, see Eld Inlet shallow","match","match","match","match"
"123","Eld Inlet","Eld Inlet - PNNL - test - 2020","SPS","0",2020-07-01,"6.25",625,"PNNL",2021-04-20,"absent","rebar",0,7.5,0,293,0,"Y","Layer of  cf. microalgae approx 1 m below surface = low visibility, collected rebar and screw anchors","ELD__2020-07-01__rebar__THC","ELD",2020-07-01,"rebar","THC","zos_rec_ps__USACE__PNNL","test","point",3,2.5,7.5,6.25,0.625,25,625,83.3333333333333,100,"160deg az, mixed fines, soft, no algae","match","match","match","match"
"124","Eld Inlet","Eld Inlet - shallow - PNNL - test - 2015","SPS","IAA 12-317.1",2015-03-12,"25",500,"DNR",2015-08-13,"present","staple",NA,NA,NA,154,NA,"DNR snorkel monitoring. Lots of plants. Zm looked good. Took lots of photos. Only found shallow.",NA,"ELD_shallow__2015-03-12__staple__WNB","ELD_shallow",2015-03-12,"staple","WNB","zos_rest_ps__DNR__PNNL","test","point",5,5,25,25,0.625,125,500,20,20,"""mega""-bundles were planted with 260 shoots on 26 staples outside of the plot 1 m west of the shallow plot","match","match","match","match"
"125","Eld Inlet","Eld Inlet - shallow - PNNL - test - 2015","SPS","IAA 12-317.1",2015-03-12,"25",500,"DNR",2016-05-23,"absent","staple",0,NA,NA,438,0,"DNR boat monitoring. No Zm observed.",NA,"ELD_shallow__2015-03-12__staple__WNB","ELD_shallow",2015-03-12,"staple","WNB","zos_rest_ps__DNR__PNNL","test","point",5,5,25,25,0.625,125,500,20,20,"""mega""-bundles were planted with 260 shoots on 26 staples outside of the plot 1 m west of the shallow plot","match","match","match","match"
"126","Eld Inlet","Eld Inlet - shallow - PNNL - test - 2015","SPS","IAA 12-317.1",2015-03-12,"25",500,"PNNL",2018-03-07,"absent","staple",0,25,0,1091,0,"found and retrieved all screw anchors. Visibility low, sediment soft, fine and jiggly. Mud up to the big knuckle. No eelgrass observed.",NA,"ELD_shallow__2015-03-12__staple__WNB","ELD_shallow",2015-03-12,"staple","WNB","zos_rest_ps__DNR__PNNL","test","point",5,5,25,25,0.625,125,500,20,20,"""mega""-bundles were planted with 260 shoots on 26 staples outside of the plot 1 m west of the shallow plot","match","match","match","match"
"127","Elwha Delta","Elwha Delta - deep west - PNNL - test - 2016","SJS","93-099661",2016-08-11,"4",500,"PNNL",2016-10-21,"present","rebar",NA,4,0,71,NA,"""all is there but some of the grass is missing on the eastern side "", lots of scour at site",NA,"ELW_deep_west__2016-08-11__rebar__FWB","ELW_deep_west",2016-08-11,"rebar","FWB","zos_rest_3_deltas__USACE__PNNL","test","point",2,2,4,5,0.5,20,500,125,100,"None.","match","no_match","match","match"
"128","Elwha Delta","Elwha Delta - deep west - PNNL - test - 2016","SJS","93-099661",2016-08-11,"4",500,"PNNL",2017-04-17,"present","rebar",NA,4,0,249,NA,"found marker stake and some eelgrass but not a lot, some rebar found just below surface and some places where there should be rebar and its missing",NA,"ELW_deep_west__2016-08-11__rebar__FWB","ELW_deep_west",2016-08-11,"rebar","FWB","zos_rest_3_deltas__USACE__PNNL","test","point",2,2,4,5,0.5,20,500,125,100,"None.","match","no_match","match","match"
"129","Elwha Delta","Elwha Delta - shallow west - PNNL - test - 2016","SJS","93-099661",2016-08-11,"4",550,"PNNL",2016-10-21,"present","rebar",NA,4,0,71,NA,"3-4 rebar worth of Zm is visible, some bar rebar and some rebar completely missing, some scour around Zm, very fine sediment",NA,"ELW_shallow_west__2016-08-11__rebar__FWB","ELW_shallow_west",2016-08-11,"rebar","FWB","zos_rest_3_deltas__USACE__PNNL","test","point",2,2,4,5.5,0.55,22,550,137.5,100,"None.","match","no_match","match","match"
"130","Elwha Delta","Elwha Delta - shallow west - PNNL - test - 2016","SJS","93-099661",2016-08-11,"4",550,"PNNL",2017-04-17,"absent","rebar",0,4,0,249,0,"found some rebar without any eelgrass",NA,"ELW_shallow_west__2016-08-11__rebar__FWB","ELW_shallow_west",2016-08-11,"rebar","FWB","zos_rest_3_deltas__USACE__PNNL","test","point",2,2,4,5.5,0.55,22,550,137.5,100,"None.","match","no_match","match","match"
"131","Fudge Point","Fudge Point North - south - HC - test - 2017","CPS","SC 16-17",2017-06-19,"6",1160,"PNNL",2018-03-07,"present","turf",50,NA,NA,261,0.0431034482758621,"PNNL survey done when doing Harstine Island monitoring; survival sparse, found north and South screw anchors. Counts for N, mid, and S plots. Plants small and scraggly",NA,"FDG_L2__2017-07-19__turf__RKB","FDG_L2",2017-07-19,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","test","line",10,1,10,6,1.16,116,1160,116,193.333333333333,"Referred to as 'Fudge Point 1' in final report. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple b/c donor site was Rocky Bay). Estimated number of PUs at test-transplant site as 1160/10 = 116","no_match","match","match","match"
"132","Fudge Point","Fudge Point North - south - HC - test - 2017","CPS","SC 16-17",2017-07-19,"6",1160,"DNR",2018-05-30,"absent","turf",0,NA,NA,315,0,"DNR snorkel monitoring. Found buoys marking test transplant transect but no Zm present. Should consider using larger Zm from DuPont Wharf donor site.",NA,"FDG_L2__2017-07-19__turf__RKB","FDG_L2",2017-07-19,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","test","line",10,1,10,6,1.16,116,1160,116,193.333333333333,"Referred to as 'Fudge Point 1' in final report. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple b/c donor site was Rocky Bay). Estimated number of PUs at test-transplant site as 1160/10 = 116","match","match","match","match"
"133","Fudge Point","Fudge Point North - south - HC - test - 2018","CPS","0",2018-06-12,"0.75",225,"DNR",2018-08-10,"present","rebar",299,0.75,398.666666666667,59,1.32888888888889,"DNR snorkel monitoring. Less algae at North site than South site.",NA,"FDG_L2__2018-06-12__rebar__DPW","FDG_L2",2018-06-12,"rebar","DPW","dnr__DNR__unspecified","test","line",10,0.5,5,2.25,0.225,9,225,45,100,"Same location as 2017 Fudge Point test transplant sites, just different donor plants. Screw anchor at 0 and 10 m, planted at 1, 5, and 9 meters between screw anchor","match","no_match","match","match"
"134","Fudge Point","Fudge Point South - north - DNR - rebar test - 2017","CPS","0",2017-07-19,"1",250,"DNR",2018-05-30,"absent","rebar",0,NA,NA,315,0,"DNR snorkel monitoring. Found north buoy at Fudge Point South and rebar test plot was just to north of buoy. No Zm observed.  Should consider using larger Zm from DuPont Wharf donor site.",NA,"FDG_1__2017-07-19__rebar__RKB","FDG_1",2017-07-19,"rebar","RKB","dnr__DNR__unspecified","test","point",1,1,1,1.25,0.125,5,250,250,200,"None.","match","no_match","match","match"
"135","Fudge Point","Fudge Point South - south - HC - test - 2017","CPS","SC 16-17",2017-07-19,"6",1056,"DNR",2018-05-30,"absent","turf",0,NA,NA,315,0,"DNR snorkel monitoring. Found buoys marking test transplant transect but no Zm present. Should consider using larger Zm from DuPont Wharf donor site.",NA,"FDG_L1__2017-07-19__turf__RKB","FDG_L1",2017-07-19,"turf","RKB","zos_rest_ps__WDFW__Hart Crowser","test","line",10,1,10,6,1.06,106,1056,105.6,176,"Referred to as 'Fudge Point 2' in final report. Turfs plant 5-15 shoots per staple (X= ~10 shoots/staple b/c donor site was Rocky Bay). Estimated number of PUs at test-transplant site as 1056/10 = 105","match","match","match","match"
"136","Fudge Point","Fudge Point South - south - HC - test - 2018","CPS","0",2018-06-12,"0.75",225,"DNR",2018-08-10,"present","rebar",180,0.75,240,59,0.8,"DNR snorkel monitoring. More algae at South site than North site.",NA,"FDG_L1__2018-06-12__rebar__DPW","FDG_L1",2018-06-12,"rebar","DPW","dnr__DNR__unspecified","test","line",10,0.5,5,2.25,0.225,9,225,45,100,"Same location as 2017 Fudge Point test transplant sites, just different donor plants. Screw anchor at 0 and 10 m, planted at 1, 5, and 9 meters between screw anchor","match","no_match","match","match"
"137","Graham Point","Graham Point - DNR - test - chia -2016","SPS","0",2016-07-21,"0.25",201,"DNR",2016-08-18,"present","rebar",1,NA,NA,28,0.00497512437810945,"DNR snorkel monitoring. Only 1 plant remained. Looked terrible and likely not going to survive.",NA,"GRA_2__2016-07-21__rebar__DPW","GRA_2",2016-07-21,"rebar","DPW","dnr__DNR__unspecified","test","point",0.25,9,2.25,12.5625,1.25625,50.25,201,89.3333333333333,16,"planted 0.0625 m2 rebar quads at 0 m, -0.2 m, -0.3 m & -0.4 m (4 total 0.0625 m2 quads). Planted slightly shallower than 2015 test plots.","match","no_match","match","match"
"138","Graham Point","Graham Point - PNNL - test - 2015","SPS","IAA 12-317.1",2015-03-12,"25",500,"DNR",2015-08-26,"absent","staple",0,NA,NA,167,0,"DNR snorkel monitoring. Found 4 corner markers set by PNNL. No Zm observed.",NA,"GRA_1__2015-03-12__staple__WNB","GRA_1",2015-03-12,"staple","WNB","zos_rest_ps__DNR__PNNL","test","point",5,5,25,25,0.625,125,500,20,20,"planting depths on slope depth range of -1.2m, MLLW to -2.1m, MLLW","match","match","match","match"
"139","Harstine Island","Harstine - PNNL - Large Scale 1 - north (deep) - 2018","CPS","93-094344",2018-05-15,"138",13800,"PNNL",2019-04-17,"present","rebar",1058,138,7.66666666666667,337,0.0766666666666667,"PNNL divers surveyed 180, 0.25 m2 quadrats along the rebar planted transects and calculated density based on shoots counted divided by surveyed area. Applied calculated density to the entire planted area to estimated number of shoots survived.  A lot of ulva and porphyra - 30-50% cover, worms but not much disturbance, plants small and patchy, no expansion,",NA,"HAR_deep_L1__2018-05-15__rebar__RPT","HAR_deep_L1",2018-05-15,"rebar","RPT","zos_rec_ps__USFWS__PNNL","large scale","line",42,5,210,138,13.8,552,13800,65.7142857142857,100,"base line runs 30°M; 25 shoots/rebar; 552 rebar planted on the offshore side of the base line, see planting diagram, offshore transect","match","match","match","match"
"140","Harstine Island","Harstine - PNNL - Large Scale 1 - north (deep) - 2018","CPS","93-094344",2018-05-15,"rebar",210,"PNNL",2020-05-13,"absent","rebar",0,NA,NA,729,0,"PNNL divers could not find screw anchors, but observed some rebar where plot should be. No eelgrass observed.",NA,"HAR_deep_L1__2018-05-15__rebar__RPT","HAR_deep_L1",2018-05-15,"rebar","RPT","zos_rec_ps__USFWS__PNNL","large scale","line",42,5,210,138,13.8,552,13800,65.7142857142857,100,"base line runs 30°M; 25 shoots/rebar; 552 rebar planted on the offshore side of the base line, see planting diagram, offshore transect","match","no_match","no_match","match"
"141","Harstine Island","Harstine - PNNL - Large Scale 1 - south (shallow) - 2018","CPS","93-099661",2018-06-14,"97",9688,"PNNL",2019-04-17,"present","rebar",13252,97,136.618556701031,307,1.36787778695293,"PNNL diver surveyed 36 0.25 m2 quadrats randomly throughout planted area to estimate average density m-2. Overall site is doing great. possible location for further planting. Test transplant near 0m mark is doing fantastic!",NA,"HAR_shallow_L1__2018-06-14__rebar__WNB","HAR_shallow_L1",2018-06-14,"rebar","WNB","zos_rest_3_deltas__USACE__PNNL","large scale","line",31,5,155,97,9.7,388,9688,62.5032258064516,99.8762886597938,"2","match","match","match","match"
"142","Harstine Island","Harstine - PNNL - Large Scale 1 - south (shallow) - 2018","CPS","93-099661",2018-06-14,"rebar",155,"PNNL",2020-05-13,"present","rebar",66057,97,681,699,426.174193548387,"PNNL divers surveyed 24 0.25 m2 quadrats along the rebar planted transects and calculated density based on shoots counted divided by surveyed area. Applied calculated density to the entire planted area to estimated number of shoots survived.",NA,"HAR_shallow_L1__2018-06-14__rebar__WNB","HAR_shallow_L1",2018-06-14,"rebar","WNB","zos_rest_3_deltas__USACE__PNNL","large scale","line",31,5,155,97,9.7,388,9688,62.5032258064516,99.8762886597938,"2","match","no_match","no_match","match"
"143","Harstine Island","Harstine Island - PNNL - Large Scale 2 - shallow - 2019","CPS","93-094344",2019-05-14,"rebar",234,"PNNL",2020-05-13,"present","rebar",35065,136.75,256.416819012797,365,149.850427350427,"PNNL divers surveyed 48 0.25 m2 quadrats along the rebar planted transects and calculated density based on shoots counted divided by surveyed area. Applied calculated density to the entire planted area to estimated number of shoots survived.",NA,"HAR_shallow_L2__2019-05-14__rebar__Mix","HAR_shallow_L2",2019-05-14,"rebar","Mix","zos_rec_ps__USFWS__PNNL","large scale","line",39,6,234,136.75,13.675,547,13320,56.9230769230769,97.4040219378428,"2","match","no_match","no_match","match"
"144","Harstine Island","Harstine - PNNL - Large Scale 1 - north (deep) - 2018","CPS","93-094344",2018-05-15,"138",13800,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_deep_L1__2018-05-15__rebar__RPT","HAR_deep_L1",2018-05-15,"rebar","RPT","zos_rec_ps__USFWS__PNNL","large scale","line",42,5,210,138,13.8,552,13800,65.7142857142857,100,"base line runs 30°M; 25 shoots/rebar; 552 rebar planted on the offshore side of the base line, see planting diagram, offshore transect","match","match","match",NA
"145","Harstine Island","Harstine - PNNL - Large Scale 1 - north (deep) - 2018","CPS","93-094344",2018-05-15,"rebar",210,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_deep_L1__2018-05-15__rebar__RPT","HAR_deep_L1",2018-05-15,"rebar","RPT","zos_rec_ps__USFWS__PNNL","large scale","line",42,5,210,138,13.8,552,13800,65.7142857142857,100,"base line runs 30°M; 25 shoots/rebar; 552 rebar planted on the offshore side of the base line, see planting diagram, offshore transect","match","no_match","no_match",NA
"146","Harstine Island","Harstine - PNNL - Large Scale 1 - south (shallow) - 2018","CPS","93-099661",2018-06-14,"97",9688,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_shallow_L1__2018-06-14__rebar__WNB","HAR_shallow_L1",2018-06-14,"rebar","WNB","zos_rest_3_deltas__USACE__PNNL","large scale","line",31,5,155,97,9.7,388,9688,62.5032258064516,99.8762886597938,"2","match","match","match",NA
"147","Harstine Island","Harstine - PNNL - Large Scale 1 - south (shallow) - 2018","CPS","93-099661",2018-06-14,"rebar",155,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_shallow_L1__2018-06-14__rebar__WNB","HAR_shallow_L1",2018-06-14,"rebar","WNB","zos_rest_3_deltas__USACE__PNNL","large scale","line",31,5,155,97,9.7,388,9688,62.5032258064516,99.8762886597938,"2","match","no_match","no_match",NA
"148","Harstine Island","Harstine Island - PNNL - Large Scale 2 - shallow - 2019","CPS","93-094344",2019-05-14,"rebar",234,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_shallow_L2__2019-05-14__rebar__Mix","HAR_shallow_L2",2019-05-14,"rebar","Mix","zos_rec_ps__USFWS__PNNL","large scale","line",39,6,234,136.75,13.675,547,13320,56.9230769230769,97.4040219378428,"2","match","no_match","no_match",NA
"149","Harstine Island","Harstine - PNNL - Large Scale 1 - north (deep) - 2018","CPS","93-094344",2018-05-15,"138",13800,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_deep_L1__2018-05-15__rebar__RPT","HAR_deep_L1",2018-05-15,"rebar","RPT","zos_rec_ps__USFWS__PNNL","large scale","line",42,5,210,138,13.8,552,13800,65.7142857142857,100,"base line runs 30°M; 25 shoots/rebar; 552 rebar planted on the offshore side of the base line, see planting diagram, offshore transect","match","match","match",NA
"150","Harstine Island","Harstine - PNNL - Large Scale 1 - north (deep) - 2018","CPS","93-094344",2018-05-15,"rebar",210,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_deep_L1__2018-05-15__rebar__RPT","HAR_deep_L1",2018-05-15,"rebar","RPT","zos_rec_ps__USFWS__PNNL","large scale","line",42,5,210,138,13.8,552,13800,65.7142857142857,100,"base line runs 30°M; 25 shoots/rebar; 552 rebar planted on the offshore side of the base line, see planting diagram, offshore transect","match","no_match","no_match",NA
"151","Harstine Island","Harstine - PNNL - Large Scale 1 - south (shallow) - 2018","CPS","93-099661",2018-06-14,"97",9688,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_shallow_L1__2018-06-14__rebar__WNB","HAR_shallow_L1",2018-06-14,"rebar","WNB","zos_rest_3_deltas__USACE__PNNL","large scale","line",31,5,155,97,9.7,388,9688,62.5032258064516,99.8762886597938,"2","match","match","match",NA
"152","Harstine Island","Harstine - PNNL - Large Scale 1 - south (shallow) - 2018","CPS","93-099661",2018-06-14,"rebar",155,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_shallow_L1__2018-06-14__rebar__WNB","HAR_shallow_L1",2018-06-14,"rebar","WNB","zos_rest_3_deltas__USACE__PNNL","large scale","line",31,5,155,97,9.7,388,9688,62.5032258064516,99.8762886597938,"2","match","no_match","no_match",NA
"153","Harstine Island","Harstine Island - PNNL - Large Scale 2 - shallow - 2019","CPS","93-094344",2019-05-14,"rebar",234,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_shallow_L2__2019-05-14__rebar__Mix","HAR_shallow_L2",2019-05-14,"rebar","Mix","zos_rec_ps__USFWS__PNNL","large scale","line",39,6,234,136.75,13.675,547,13320,56.9230769230769,97.4040219378428,"2","match","no_match","no_match",NA
"154","Harstine Island","Harstine - PNNL - Large Scale 1 - north (deep) - 2018","CPS","93-094344",2018-05-15,"138",13800,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_deep_L1__2018-05-15__rebar__RPT","HAR_deep_L1",2018-05-15,"rebar","RPT","zos_rec_ps__USFWS__PNNL","large scale","line",42,5,210,138,13.8,552,13800,65.7142857142857,100,"base line runs 30°M; 25 shoots/rebar; 552 rebar planted on the offshore side of the base line, see planting diagram, offshore transect","match","match","match",NA
"155","Harstine Island","Harstine - PNNL - Large Scale 1 - north (deep) - 2018","CPS","93-094344",2018-05-15,"rebar",210,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_deep_L1__2018-05-15__rebar__RPT","HAR_deep_L1",2018-05-15,"rebar","RPT","zos_rec_ps__USFWS__PNNL","large scale","line",42,5,210,138,13.8,552,13800,65.7142857142857,100,"base line runs 30°M; 25 shoots/rebar; 552 rebar planted on the offshore side of the base line, see planting diagram, offshore transect","match","no_match","no_match",NA
"156","Harstine Island","Harstine - PNNL - Large Scale 1 - south (shallow) - 2018","CPS","93-099661",2018-06-14,"97",9688,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_shallow_L1__2018-06-14__rebar__WNB","HAR_shallow_L1",2018-06-14,"rebar","WNB","zos_rest_3_deltas__USACE__PNNL","large scale","line",31,5,155,97,9.7,388,9688,62.5032258064516,99.8762886597938,"2","match","match","match",NA
"157","Harstine Island","Harstine - PNNL - Large Scale 1 - south (shallow) - 2018","CPS","93-099661",2018-06-14,"rebar",155,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_shallow_L1__2018-06-14__rebar__WNB","HAR_shallow_L1",2018-06-14,"rebar","WNB","zos_rest_3_deltas__USACE__PNNL","large scale","line",31,5,155,97,9.7,388,9688,62.5032258064516,99.8762886597938,"2","match","no_match","no_match",NA
"158","Harstine Island","Harstine Island - PNNL - Large Scale 2 - shallow - 2019","CPS","93-094344",2019-05-14,"rebar",234,"PNNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAR_shallow_L2__2019-05-14__rebar__Mix","HAR_shallow_L2",2019-05-14,"rebar","Mix","zos_rec_ps__USFWS__PNNL","large scale","line",39,6,234,136.75,13.675,547,13320,56.9230769230769,97.4040219378428,"2","match","no_match","no_match",NA
"159","Harstine Island","Harstine - PNNL - Large Scale 1 - north (deep) - 2018","CPS","93-094344",2018-05-15,"138",13800,"DNR",2024-06-20,"absent","rebar",NA,NA,NA,NA,NA,NA,NA,"HAR_deep_L1__2018-05-15__rebar__RPT","HAR_deep_L1",2018-05-15,"rebar","RPT","zos_rec_ps__USFWS__PNNL","large scale","line",42,5,210,138,13.8,552,13800,65.7142857142857,100,"base line runs 30°M; 25 shoots/rebar; 552 rebar planted on the offshore side of the base line, see planting diagram, offshore transect","match","match","match","match"
"160","Harstine Island","Harstine - PNNL - Large Scale 1 - north (deep) - 2018","CPS","93-094344",2018-05-15,"rebar",210,"DNR",2024-06-20,"absent","rebar",NA,NA,NA,NA,NA,NA,NA,"HAR_deep_L1__2018-05-15__rebar__RPT","HAR_deep_L1",2018-05-15,"rebar","RPT","zos_rec_ps__USFWS__PNNL","large scale","line",42,5,210,138,13.8,552,13800,65.7142857142857,100,"base line runs 30°M; 25 shoots/rebar; 552 rebar planted on the offshore side of the base line, see planting diagram, offshore transect","match","no_match","no_match","match"
"161","Harstine Island","Harstine - PNNL - Large Scale 1 - south (shallow) - 2018","CPS","93-099661",2018-06-14,"97",9688,"DNR",2024-06-20,"absent","rebar",NA,NA,NA,NA,NA,NA,NA,"HAR_shallow_L1__2018-06-14__rebar__WNB","HAR_shallow_L1",2018-06-14,"rebar","WNB","zos_rest_3_deltas__USACE__PNNL","large scale","line",31,5,155,97,9.7,388,9688,62.5032258064516,99.8762886597938,"2","match","match","match","match"
"162","Harstine Island","Harstine - PNNL - Large Scale 1 - south (shallow) - 2018","CPS","93-099661",2018-06-14,"rebar",155,"DNR",2024-06-20,"absent","rebar",NA,NA,NA,NA,NA,NA,NA,"HAR_shallow_L1__2018-06-14__rebar__WNB","HAR_shallow_L1",2018-06-14,"rebar","WNB","zos_rest_3_deltas__USACE__PNNL","large scale","line",31,5,155,97,9.7,388,9688,62.5032258064516,99.8762886597938,"2","match","no_match","no_match","match"
"163","Harstine Island","Harstine Island - PNNL - Large Scale 2 - shallow - 2019","CPS","93-094344",2019-05-14,"rebar",234,"DNR",2024-06-20,"absent","rebar",NA,NA,NA,NA,NA,NA,NA,"HAR_shallow_L2__2019-05-14__rebar__Mix","HAR_shallow_L2",2019-05-14,"rebar","Mix","zos_rec_ps__USFWS__PNNL","large scale","line",39,6,234,136.75,13.675,547,13320,56.9230769230769,97.4040219378428,"2","match","no_match","no_match","match"
"164","Harstine Island","Harstine Island - PNNL - Test Plot 1 of 4 (north of north plot) - 2017","CPS","93-094344",2017-06-07,"6",1000,"PNNL",2018-03-06,"present","rebar",377,6,62.8333333333333,272,0.377,"moderate survival, Plants on all 5 rows. Some rebar misplaced but still had plants. Row with fewest shoot 0.5 = 48 was missing shoots on part of row. Lots of new shoots; very little algae, lots of exposed rhizomes and rebar on row 2.0",NA,"HAR_1__2017-06-07__rebar__WNB","HAR_1",2017-06-07,"rebar","WNB","zos_rec_ps__USFWS__PNNL","test","point",3,2,6,5,0.5,20,1000,166.666666666667,200,"None.","match","no_match","match","match"
"165","Harstine Island","Harstine Island - PNNL - Test Plot 2 of 4 (north plot) - 2017","CPS","93-094344",2017-06-07,"6",1000,"PNNL",2018-03-06,"present","rebar",623,6,103.833333333333,272,0.623,"good survival, Plants on all 5 rows. Lots of new shoots; very little algae, lots of small snails",NA,"HAR_2__2017-06-07__rebar__WNB","HAR_2",2017-06-07,"rebar","WNB","zos_rec_ps__USFWS__PNNL","test","point",3,2,6,5,0.5,20,1000,166.666666666667,200,"S screw anchor for test plot","match","no_match","match","match"
"166","Harstine Island","Harstine Island - PNNL - Test Plot 3 of 4 (south plot) - 2017","CPS","93-094344",2017-06-07,"6",1000,"PNNL",2018-03-06,"present","rebar",425,6,70.8333333333333,272,0.425,"good survival, Plants on all 5 rows. Lots of new shoots; very little algae, lots of small snails",NA,"HAR_3__2017-06-07__rebar__WNB","HAR_3",2017-06-07,"rebar","WNB","zos_rec_ps__USFWS__PNNL","test","point",3,2,6,5,0.5,20,1000,166.666666666667,200,"S screw anchor for test plot","match","no_match","match","match"
"167","Harstine Island","Harstine Island - PNNL - Test Plot 4 of 4 (south of south plot) rebar - 2017","CPS","93-094344",2017-06-07,"6",1000,"PNNL",2018-03-06,"present","rebar",164,6,27.3333333333333,272,0.164,"MODERATE SURVIVAL slightly smaller and more sparse than plot 1, Plants on all 5 rows. ONE rebar EXPOSED but still had plants. Some new shoots; very little algae",NA,"HAR_4__2017-06-07__rebar__WNB","HAR_4",2017-06-07,"rebar","WNB","zos_rec_ps__USFWS__PNNL","test","point",3,2,6,5,0.5,20,1000,166.666666666667,200,"side by side plantings using 2 methods","match","no_match","match","match"
"168","Harstine Island","Harstine Island - PNNL - Test Plot 4 of 4 (south of south plot) staples - 2017","CPS","93-094344",2017-06-07,"5",800,"PNNL",2018-03-06,"present","staple",113,5,22.6,272,0.14125,"MODERATE SURVIVAL slightly smaller and more sparse than plot 1, Plants on all 4 rows. ONE STAPLE FLAT ON THE GROUND NO OTHERS OBSERVED. Some new shoots; very little algae",NA,"HAR_4__2017-06-07__staple__WNB","HAR_4",2017-06-07,"staple","WNB","zos_rec_ps__USFWS__PNNL","test","point",2.5,2,5,5,0.5,100,800,160,160,"side by side plantings using 2 methods","match","match","match","match"
"169","Harstine Island","Harstine Island - PNNL - Test Plot 5 (north of north plot) rebar shallow- 2020","CPS","0",2020-06-29,"5",500,"PNNL",2021-04-20,"present","rebar",290,6.25,46.4,295,0.58,"Y",NA,"HAR_5__2020-06-29__rebar__RKB","HAR_5",2020-06-29,"rebar","RKB","zos_rec_ps__USACE__PNNL","test","point",2.5,2.5,6.25,5,0.5,20,500,80,100,"330 deg az, substrate is bare sand, little more current at this site on a rising tide, substrate is more course and sand is not sticky","match","match","match","match"
"170","Harstine Island","Harstine Island - PNNL - Test Plot 6 (south of south plot) rebar shallow - 2020","CPS","0",2020-06-29,"5",500,"PNNL",2021-04-20,"present","rebar",291,6.25,46.56,295,0.582,"Y","Poor visibility, not very much algae on sediment surface but some. Gaps in some of the rows; scour holes?","HAR_6__2020-06-29__rebar__RKB","HAR_6",2020-06-29,"rebar","RKB","zos_rec_ps__USACE__PNNL","test","point",2.5,2.5,6.25,5,0.5,20,500,80,100,"15deg azimuth, offshore depth 11ft dive computer,","match","match","match","match"
